iter	RMSE
0	462.1549708
1	442.9165317
2	425.5701745
3	408.556956
4	391.8812092
5	375.9921844
6	361.4804409
7	347.1223515
8	333.449049
9	320.7069814
10	309.1441597
11	297.749568
12	286.7917469
13	276.7566745
14	267.2738557
15	258.0490882
16	249.3106987
17	241.3541755
18	233.3824566
19	225.5312584
20	218.4517469
21	211.0550084
22	204.538919
23	198.1641346
24	192.1536389
25	186.4131231
26	181.2509782
27	176.1337005
28	171.5817121
29	166.9907825
30	162.7045058
31	158.8050062
32	154.8846071
33	151.1271232
34	147.8271905
35	144.9111316
36	141.7656391
37	138.9367498
38	136.267629
39	134.2517824
40	131.7753421
41	129.516603
42	127.2783482
43	125.241262
44	123.4368136
45	121.771607
46	120.2987742
47	118.6793294
48	117.0691046
49	115.7241552
50	114.4536782
51	113.2172485
52	112.0644357
53	110.8986947
54	109.8167481
55	109.0111235
56	108.1631739
57	107.3025866
58	106.5000424
59	105.6981641
60	104.8728869
61	104.0827463
62	103.3441201
63	102.7055984
64	102.1240459
65	101.490067
66	100.8836846
67	100.3975544
68	99.91254827
69	99.37926708
70	98.86931277
71	98.42486582
72	98.07919436
73	97.72216538
74	97.34461733
75	96.95392184
76	96.57703848
77	96.240391
78	95.83534873
79	95.54108203
80	95.22929704
81	94.94578394
82	94.65941535
83	94.32975426
84	94.06588966
85	93.80717676
86	93.5316306
87	93.34095906
88	93.09455248
89	92.66531129
90	92.40024229
91	92.18828645
92	91.89702862
93	91.76537132
94	91.56604793
95	91.25130605
96	91.01675992
97	90.78546814
98	90.61267947
99	90.39634982
100	90.12186866
101	89.97445396
102	89.75295241
103	89.62530229
104	89.54187092
105	89.34794402
106	89.1359487
107	88.8952344
108	88.78936865
109	88.60913344
110	88.43310132
111	88.23396077
112	87.98835528
113	87.8006599
114	87.68310461
115	87.56454225
116	87.4714279
117	87.34911869
118	87.21946964
119	87.05934409
120	86.89185484
121	86.74316939
122	86.60550512
123	86.36933917
124	86.22553242
125	86.08536634
126	85.96089425
127	85.85923795
128	85.75307424
129	85.61582613
130	85.44857231
131	85.29227069
132	85.12483335
133	85.06209192
134	84.98694692
135	84.85912249
136	84.74010844
137	84.61174585
138	84.49306479
139	84.38236087
140	84.20790617
141	84.12974565
142	83.982446
143	83.87249598
144	83.73580494
145	83.60242027
146	83.44481587
147	83.35178635
148	83.19041564
149	83.06616823
150	82.88786689
151	82.83219419
152	82.67752903
153	82.53588501
154	82.48384922
155	82.34990638
156	82.27668505
157	82.20214952
158	82.09500206
