iter	RMSE
159	82.05576711
160	81.89188249
161	81.84659705
162	81.76713007
163	81.63686644
164	81.53146847
165	81.38861895
166	81.29452044
167	81.20847659
168	81.16239327
169	81.10031387
170	81.00408711
171	80.89025953
172	80.79507196
173	80.69152328
174	80.56833329
175	80.51537066
176	80.47904662
177	80.40177874
178	80.27601442
179	80.18221702
180	80.09998342
181	79.98541372
182	79.84513643
183	79.75115238
184	79.67435719
185	79.66044486
186	79.59733601
187	79.50537275
188	79.42539025
189	79.30793198
190	79.24355815
191	79.13037399
192	79.06097619
193	79.02572518
194	78.98978702
195	78.90595515
196	78.84152747
197	78.76275654
198	78.6987617
199	78.63135109
200	78.56292513
201	78.49086466
202	78.39627613
203	78.33394204
204	78.25665608
205	78.20528794
206	78.10429005
207	77.99504493
208	77.92168598
209	77.84229113
210	77.77411296
211	77.70885964
212	77.63409045
213	77.56566101
214	77.4159445
215	77.36536986
216	77.27968005
217	77.17208534
218	77.12172464
219	77.07665504
220	76.9702289
221	76.91341112
222	76.87895397
223	76.82925041
224	76.7444713
225	76.67963361
226	76.62924079
227	76.52412167
228	76.44217591
229	76.36106172
230	76.25063308
231	76.19548749
232	76.14778603
233	76.04264601
234	75.94032449
235	75.87248277
236	75.81573397
237	75.7236559
238	75.65911685
239	75.58016506
240	75.47710268
241	75.37456794
242	75.29978581
243	75.21871688
244	75.11843129
245	75.03985477
246	74.95201031
247	74.88999154
248	74.78213156
249	74.72011864
250	74.66631909
251	74.62995521
252	74.60684449
253	74.553848
254	74.48405475
255	74.46468796
256	74.37243543
257	74.2850994
258	74.21998315
259	74.15591483
260	74.08342502
261	74.03203621
262	73.97689128
263	73.9282064
264	73.86767537
265	73.77148823
266	73.64729999
267	73.5977101
268	73.51717263
269	73.42571942
270	73.35214378
271	73.17210752
272	73.08710363
273	72.99761662
274	72.8554494
275	72.78896135
276	72.70590527
277	72.65374602
278	72.547319
279	72.44247847
280	72.36587508
281	72.24951073
282	72.17412527
283	72.12447596
284	72.03202654
285	71.93921869
286	71.88233656
287	71.71458825
288	71.59914538
289	71.53140739
290	71.46192992
291	71.28439232
292	71.22617435
293	71.14052757
294	71.05205012
295	70.90107174
296	70.86857184
297	70.75230944
298	70.67878244
299	70.59106323
300	70.44191761
301	70.35490338
302	70.25926184
303	70.20637897
304	70.17296347
305	70.09823666
306	70.00524472
307	69.91212653
308	69.78453969
309	69.69777618
310	69.64069981
311	69.55798102
312	69.47129958
313	69.41802205
314	69.40304537
315	69.32573471
316	69.23191852
317	69.15449435
318	69.10076656
319	68.99885442
320	68.96456791
321	68.95020757
322	68.86952924
323	68.7975475
324	68.71596415
325	68.63903565
326	68.58010792
327	68.5056955
328	68.45790164
329	68.35222158
330	68.31455812
331	68.2539537
332	68.20196778
333	68.16901126
334	68.15553791
335	68.08645564
336	68.01123036
337	67.94132341
338	67.87689939
339	67.79540932
340	67.73755666
341	67.67290523
342	67.59428452
343	67.50187793
344	67.45474128
345	67.39026482
346	67.32471957
347	67.24350587
348	67.17508768
349	67.1472225
350	67.07136008
351	66.97963892
352	66.92471473
353	66.86950813
354	66.80444376
355	66.75346549
356	66.69671404
357	66.65854223
358	66.58682795
359	66.51437766
360	66.43343933
361	66.41135061
362	66.33353742
363	66.27953694
364	66.2066113
365	66.17101567
366	66.09185024
367	66.04842562
368	65.98970571
369	65.93665664
370	65.88029793
371	65.7468769
372	65.67490283
373	65.65498996
374	65.60584003
375	65.52322946
376	65.45729059
377	65.40231662
378	65.34755996
379	65.24073865
380	65.18606314
381	65.1473505
382	65.11246916
383	65.08183935
384	64.99484003
385	64.93670593
386	64.86343008
387	64.8168878
388	64.75852474
389	64.69967445
390	64.6630257
391	64.61714957
392	64.56371244
393	64.55042558
394	64.50406645
395	64.45535105
396	64.40444471
397	64.30138554
398	64.24769305
399	64.18771426
400	64.14025889
401	64.09434047
402	64.01923862
403	63.96137813
404	63.89472505
405	63.8375363
406	63.73950154
407	63.70360731
408	63.6694371
409	63.61783031
410	63.57159567
411	63.53789973
412	63.46331504
413	63.39518577
414	63.33482343
415	63.29248727
416	63.27053709
417	63.24040995
418	63.20835727
419	63.16366627
420	63.08771868
421	63.05286083
422	63.01304834
423	62.98306702
424	62.94691776
425	62.90191498
426	62.87212124
427	62.85347275
428	62.7900676
429	62.74312046
430	62.67772957
431	62.62311813
432	62.55689137
433	62.51406304
434	62.42229701
435	62.37649661
436	62.326851
437	62.3001037
438	62.23030201
439	62.20877128
440	62.1640982
441	62.0936748
442	62.06445396
443	62.01136439
444	61.99053666
445	61.92994354
446	61.87451255
447	61.82810403
448	61.78523753
449	61.74443531
450	61.69596511
451	61.64450867
452	61.57016965
453	61.49729821
454	61.44968428
455	61.43792967
456	61.4262637
457	61.35851789
458	61.31560002
459	61.24803792
460	61.13671418
461	61.10112967
462	61.07292466
463	61.02405456
464	60.98197761
465	60.93095919
466	60.87587249
467	60.85832175
468	60.80693626
469	60.75236396
470	60.71262374
471	60.65771285
472	60.57189786
473	60.55219299
474	60.50015442
475	60.47944589
476	60.44058203
477	60.37825659
478	60.36813279
479	60.34673505
480	60.31300732
481	60.27522075
482	60.23446875
483	60.19503394
484	60.13696495
485	60.1231338
486	60.07450518
487	60.04127823
488	60.00566555
489	59.93295665
490	59.87578677
491	59.81947328
492	59.78474514
493	59.74289181
494	59.69965852
495	59.62850187
496	59.58421615
497	59.54388448
498	59.50623782
499	59.47346491
